Time,Registration,Payment,Get Triage Number,Measure Vital Signs,General Medicine Examination,Eye Examination,ENT Examination,Dental Examination,Gynecological Examination,Breast Examination,Blood Test,Urine Test,In-depth Eye Examination,ENT Endoscopy,Electrocardiogram (ECG),Post-bronchodilator Spirometry,General Ultrasound,Cardiac Ultrasound,Chest X-ray,DEXA Bone Density Scan,Conclusion
65.0,3,1,0,1,0,2,3,3,1,0,3,3,0,0,0,0,5,3,5,0,0
66.0,2,2,0,1,1,1,2,3,1,1,6,3,0,0,0,0,5,3,3,0,0
67.0,2,2,0,1,1,2,2,2,1,1,5,3,0,0,0,0,4,3,4,0,1
68.0,1,3,0,1,2,1,3,2,1,1,4,3,0,0,0,0,4,3,5,0,1
69.0,3,2,0,2,1,2,3,1,1,1,6,4,0,0,0,0,5,2,3,0,1
70.0,2,2,0,1,3,2,2,1,1,1,4,4,0,0,0,0,4,3,5,0,1
71.0,0,3,0,2,2,2,2,2,0,1,4,5,0,0,0,0,5,3,4,0,1
72.0,0,2,0,1,4,1,1,4,1,0,3,5,0,0,0,0,5,5,3,0,1
73.0,2,1,0,2,3,1,1,4,1,0,3,5,0,0,0,0,6,5,3,0,0
74.0,2,0,0,2,3,2,1,2,1,1,4,5,0,0,0,0,6,6,2,0,0
75.0,1,1,0,1,2,2,2,2,1,2,3,4,0,0,0,0,6,6,3,0,1
76.0,1,2,0,0,3,0,3,2,1,2,4,4,0,0,0,0,6,6,3,0,1
77.0,1,0,0,2,3,1,2,1,1,2,4,5,0,0,0,0,6,5,3,0,1
78.0,0,1,0,2,1,2,2,2,1,2,2,5,0,0,0,0,7,5,4,0,1
79.0,0,1,0,0,2,2,3,2,2,1,1,5,0,0,0,0,6,7,4,0,1
80.0,0,0,0,1,2,1,3,3,1,2,0,6,0,0,0,0,6,7,4,0,0
81.0,0,0,0,1,2,3,2,2,1,2,1,5,0,0,0,0,6,7,4,0,0
82.0,0,0,0,0,1,3,4,2,1,2,1,5,0,0,0,0,6,6,4,0,1
83.0,1,0,0,0,1,3,3,2,1,2,2,6,0,0,0,0,6,6,3,0,1
84.0,1,0,0,0,1,2,2,3,1,2,3,6,0,0,0,0,7,6,2,0,1
85.0,0,1,0,0,0,3,3,2,1,2,3,7,0,0,0,0,8,5,1,0,0
86.0,2,1,0,0,0,3,2,3,1,1,3,6,0,0,0,0,9,5,2,0,0
87.0,2,0,0,1,0,2,2,2,1,2,3,8,0,0,0,0,8,5,1,0,1
88.0,0,2,0,1,0,2,2,1,1,2,3,8,0,0,0,0,8,5,2,0,1
89.0,1,1,0,1,1,2,2,1,1,2,3,9,0,0,0,0,7,5,2,0,1
90.0,1,0,0,2,1,1,2,1,2,2,3,9,0,0,0,0,7,4,2,0,1
91.0,0,1,0,1,2,1,2,1,2,2,3,8,0,0,0,0,8,5,1,0,1
92.0,0,1,0,0,2,1,2,1,2,1,3,8,0,0,0,0,9,5,2,0,1
93.0,1,0,0,1,2,1,1,1,2,1,3,8,0,0,0,0,9,4,3,0,1
94.0,1,0,0,1,1,1,2,1,2,1,2,8,0,0,0,0,9,5,3,0,1
95.0,1,1,0,0,1,2,1,1,1,1,5,9,0,0,0,0,8,6,1,0,1
96.0,1,1,0,0,1,2,1,1,1,1,5,7,0,0,0,0,8,8,1,0,1
97.0,0,1,0,1,0,2,1,1,1,1,4,7,0,0,0,0,8,7,3,0,1
98.0,1,0,0,2,0,2,1,1,1,1,3,8,0,0,0,0,8,7,3,0,1
99.0,1,0,0,1,1,2,0,2,1,1,3,8,0,0,0,0,8,7,3,0,1
100.0,0,1,0,0,2,1,1,2,1,1,1,8,0,0,0,0,8,8,4,0,0
101.0,0,1,0,0,2,1,1,2,1,1,1,7,0,0,0,0,9,8,3,0,1
102.0,0,0,0,1,1,1,2,2,1,0,2,7,0,0,0,0,9,7,3,0,2
103.0,1,0,0,1,1,1,1,1,1,1,3,8,0,0,0,0,7,9,2,0,1
104.0,1,0,0,0,1,1,2,1,1,1,3,8,0,0,0,0,8,9,1,0,1
105.0,0,1,0,0,1,1,1,0,1,1,3,7,0,0,0,0,9,9,2,0,1
106.0,0,1,0,0,1,1,1,0,1,1,3,7,0,0,0,0,10,9,1,0,1
107.0,0,0,0,1,0,0,1,2,1,1,1,7,0,0,0,0,9,10,3,0,1
108.0,0,0,0,1,0,0,1,2,1,1,2,7,0,0,0,0,9,10,2,0,0
109.0,1,0,0,0,1,1,1,2,1,0,2,8,0,0,0,0,8,10,2,0,0
110.0,2,0,0,0,1,1,0,1,1,2,2,7,0,0,0,0,9,11,1,0,0
111.0,4,0,0,0,1,1,0,1,1,2,1,8,0,0,0,0,8,11,1,0,1
112.0,3,2,0,0,0,1,1,0,1,2,2,9,0,0,0,0,7,11,1,0,1
113.0,1,4,0,0,0,1,1,0,0,3,1,9,0,0,0,0,9,10,1,0,1
114.0,1,3,0,2,0,1,1,0,0,3,1,10,0,0,0,0,9,10,0,0,0
115.0,1,3,0,3,0,0,1,1,0,1,2,10,0,0,0,0,9,10,1,0,0
116.0,1,2,0,2,2,0,1,1,0,1,2,8,0,0,0,0,9,12,1,0,0
117.0,0,2,0,2,3,0,1,1,0,1,1,8,0,0,0,0,9,12,2,0,0
118.0,1,1,0,2,4,0,0,1,0,1,3,9,0,0,0,0,8,11,1,0,1
119.0,1,0,0,2,3,1,1,1,0,1,3,9,0,0,0,0,9,11,0,0,1
120.0,0,1,0,1,2,2,1,1,1,0,3,9,0,0,0,0,8,12,1,0,1
121.0,0,1,0,1,2,1,1,1,1,0,2,9,0,0,0,0,8,11,3,0,1
122.0,0,0,0,1,2,2,1,1,1,0,2,9,0,0,0,0,8,11,3,0,1
123.0,0,0,0,1,1,1,2,1,1,1,0,9,0,0,0,0,9,11,4,0,1
124.0,0,0,0,0,2,1,2,0,1,2,2,9,0,0,0,0,9,11,2,0,0
125.0,2,0,0,0,1,1,1,2,1,2,2,8,0,0,0,0,10,11,2,0,0
126.0,3,0,0,0,1,1,0,3,1,2,2,7,0,0,0,0,9,13,2,0,0
127.0,2,2,0,0,1,1,0,2,1,2,2,8,0,0,0,0,10,12,1,0,1
128.0,0,4,0,0,0,2,1,2,1,1,0,9,0,0,0,0,11,12,1,0,1
129.0,0,2,0,2,0,2,2,2,1,0,0,11,0,0,0,0,9,12,1,0,1
130.0,0,2,0,2,0,1,3,2,1,0,0,11,0,0,0,0,9,11,1,0,1
131.0,1,0,0,2,2,1,2,0,1,1,2,10,0,0,0,0,9,12,1,0,1
132.0,1,0,0,2,2,1,1,1,1,1,2,10,0,0,0,0,9,12,1,0,1
133.0,1,1,0,0,3,2,1,1,1,1,2,10,0,0,0,0,9,12,1,0,0
134.0,1,1,0,0,2,1,1,3,1,1,3,11,0,0,0,0,8,12,0,0,0
135.0,0,1,0,1,2,2,1,2,1,1,2,9,0,0,0,0,8,13,1,0,1
136.0,0,1,0,1,0,2,3,3,1,0,1,9,0,0,0,0,9,13,1,0,1
137.0,0,1,0,0,1,3,3,2,0,0,2,10,0,0,0,0,7,13,1,0,2
138.0,2,0,0,1,1,2,3,2,0,1,2,10,0,0,0,0,8,13,0,0,1
139.0,4,0,0,1,1,1,2,2,1,1,1,10,0,0,0,0,9,13,1,0,1
140.0,2,2,0,0,2,1,3,1,1,1,1,9,0,0,0,0,8,15,1,0,0
141.0,2,3,0,0,1,1,2,3,1,1,0,9,0,0,0,0,7,16,2,0,0
142.0,1,2,0,2,1,1,3,2,1,1,1,9,0,0,0,0,7,16,1,0,0
143.0,1,2,0,2,0,2,1,2,1,0,3,9,0,0,0,0,7,15,2,0,1
144.0,0,1,0,2,2,2,1,1,1,1,3,9,0,0,0,0,8,15,1,0,1
145.0,0,1,0,2,2,2,1,0,1,1,3,9,0,0,0,0,6,17,2,0,1
146.0,1,0,0,1,3,1,1,1,0,1,4,8,0,0,0,0,7,16,3,0,2
